,Time(Lin_Reg),Time(knn_Reg),Time(Rid_Reg),Accuracy(Lin_Reg),Accuracy(knn_Reg),Accuracy(Rid_Reg),MSE(Lin_Reg),MSE(knn_Reg),MSE(Rid_Reg),R-sq(Lin_Reg),R-sq(knn_Reg),R-sq(Rid_Reg)
553,0.026897668838500977,0.0240018367767334,0.0019965171813964844,0.9473684210526315,0.9473684210526315,0.9306706973957761,0.05263157894736842,0.05263157894736842,0.1833472217622351,0.9311594202898551,0.9311594202898551,0.9306706973957761
554,0.03499889373779297,0.02513575553894043,0.0,0.9736842105263158,0.9736842105263158,0.9332033993228457,0.02631578947368421,0.02631578947368421,0.17133696654164474,0.9630350194552529,0.9630350194552529,0.9332033993228457
555,0.015631675720214844,0.03125810623168945,0.010508298873901367,0.9736842105263158,0.9736842105263158,0.9223454965801181,0.02631578947368421,0.02631578947368421,0.1960208775598773,0.962037962037962,0.962037962037962,0.9223454965801181
556,0.029593229293823242,0.022263765335083008,0.0,0.9210526315789473,0.9210526315789473,0.8840256518690074,0.07894736842105263,0.07894736842105263,0.20616297764135721,0.8694158075601375,0.8694158075601375,0.8840256518690074
557,0.02788710594177246,0.019149065017700195,0.0,0.9210526315789473,0.9210526315789473,0.9162534298361261,0.07894736842105263,0.07894736842105263,0.16647073634386525,0.8618181818181818,0.8618181818181818,0.9162534298361261
558,0.01562952995300293,0.015630006790161133,0.0,1.0,1.0,0.9312759917608122,0.0,0.0,0.15838020499391975,1.0,1.0,0.9312759917608122
559,0.03510093688964844,0.016775846481323242,0.0,0.9736842105263158,0.9736842105263158,0.9008263100773244,0.02631578947368421,0.02631578947368421,0.18578606058300537,0.9518377693282636,0.9518377693282636,0.9008263100773244
560,0.027050256729125977,0.02004384994506836,0.0,0.9736842105263158,0.9736842105263158,0.9340647824215683,0.02631578947368421,0.02631578947368421,0.1640445126517227,0.9629268292682926,0.9629268292682926,0.9340647824215683
561,0.015630006790161133,0.03125786781311035,0.010509252548217773,0.9473684210526315,0.9473684210526315,0.9196713981915002,0.05263157894736842,0.05263157894736842,0.1833189456152219,0.9309718437783833,0.9309718437783833,0.9196713981915002
562,0.03395843505859375,0.02700328826904297,0.0020003318786621094,0.9473684210526315,0.9473684210526315,0.9367494550956335,0.05263157894736842,0.05263157894736842,0.16030683493143116,0.9258536585365854,0.9258536585365854,0.9367494550956335
563,0.023001670837402344,0.022001028060913086,0.003000497817993164,0.9473684210526315,0.9473684210526315,0.9422769170255088,0.05263157894736842,0.05263157894736842,0.1625573400494107,0.9309718437783833,0.9309718437783833,0.9422769170255088
564,0.03125500679016113,0.03164982795715332,0.0,0.9473684210526315,0.9473684210526315,0.9169225905691585,0.05263157894736842,0.05263157894736842,0.1874822650066621,0.9201680672268907,0.9201680672268907,0.9169225905691585
565,0.03400087356567383,0.02000260353088379,0.0,0.9473684210526315,0.9473684210526315,0.9465134914174415,0.05263157894736842,0.05263157894736842,0.15930213829406878,0.9304666056724611,0.9304666056724611,0.9465134914174415
566,0.016022443771362305,0.031263113021850586,0.0,0.9473684210526315,0.9473684210526315,0.8996910604768067,0.05263157894736842,0.05263157894736842,0.1720942304344181,0.8978494623655914,0.8978494623655914,0.8996910604768067
567,0.03125905990600586,0.029715538024902344,0.0029985904693603516,0.9473684210526315,0.9473684210526315,0.9117232319595334,0.05263157894736842,0.05263157894736842,0.17440130541840684,0.904642409033877,0.904642409033877,0.9117232319595334
568,0.02600240707397461,0.029999971389770508,0.0055429935455322266,0.9736842105263158,0.9736842105263158,0.8919607879100923,0.02631578947368421,0.02631578947368421,0.19084063662307033,0.9467040673211782,0.9467040673211782,0.8919607879100923
569,0.026143789291381836,0.03125739097595215,0.0,0.9736842105263158,0.9736842105263158,0.9161244019259148,0.02631578947368421,0.02631578947368421,0.175150477072023,0.9564719358533792,0.9564719358533792,0.9161244019259148
570,0.03125882148742676,0.016020536422729492,0.0,0.9473684210526315,0.9473684210526315,0.9283529317197787,0.05263157894736842,0.05263157894736842,0.17856941243522903,0.9309718437783833,0.9309718437783833,0.9283529317197787
571,0.03126215934753418,0.03125643730163574,0.0,1.0,1.0,0.9511266160534293,0.0,0.0,0.13438306368616382,1.0,1.0,0.9511266160534293
572,0.03900313377380371,0.02881455421447754,0.0,0.9736842105263158,0.9736842105263158,0.942528172477223,0.02631578947368421,0.02631578947368421,0.14655919872074713,0.9609053497942387,0.9609053497942387,0.942528172477223
573,0.03165268898010254,0.03126215934753418,0.0,0.9210526315789473,0.9210526315789473,0.9117453975689086,0.07894736842105263,0.07894736842105263,0.1782111901005456,0.8767567567567567,0.8767567567567567,0.9117453975689086
574,0.015630483627319336,0.031647682189941406,0.0,0.9736842105263158,0.9736842105263158,0.9356772525995765,0.02631578947368421,0.02631578947368421,0.17233890066941374,0.9647168059424327,0.9647168059424327,0.9356772525995765
575,0.01900029182434082,0.0240023136138916,0.004001617431640625,0.9473684210526315,0.9473684210526315,0.9287766242025741,0.05263157894736842,0.05263157894736842,0.1828232866649003,0.9252704031465093,0.9252704031465093,0.9287766242025741
576,0.0299990177154541,0.016559123992919922,0.0,0.9736842105263158,0.9736842105263158,0.9264526356544754,0.02631578947368421,0.02631578947368421,0.16660923303798283,0.9615384615384616,0.9615384615384616,0.9264526356544754
577,0.03126049041748047,0.01562976837158203,0.0,0.9736842105263158,0.9736842105263158,0.9380444630498423,0.02631578947368421,0.02631578947368421,0.17187494745894072,0.9674935842600514,0.9674935842600514,0.9380444630498423
578,0.03126168251037598,0.028168439865112305,0.0,0.9473684210526315,0.9473684210526315,0.8946207251784091,0.05263157894736842,0.05263157894736842,0.20889200689790743,0.9230769230769231,0.9230769230769231,0.8946207251784091
579,0.031645774841308594,0.02700352668762207,0.001999378204345703,0.9736842105263158,0.9736842105263158,0.9159505125707947,0.02631578947368421,0.02631578947368421,0.1822461140935955,0.9581497797356828,0.9581497797356828,0.9159505125707947
580,0.024236440658569336,0.047286272048950195,0.0,0.9736842105263158,0.9736842105263158,0.9524628951622996,0.02631578947368421,0.02631578947368421,0.15351224081315396,0.9661921708185054,0.9661921708185054,0.9524628951622996
581,0.03125953674316406,0.02503657341003418,0.002000570297241211,0.9736842105263158,0.9736842105263158,0.9005567708651148,0.02631578947368421,0.02631578947368421,0.17875971456079662,0.9518377693282636,0.9518377693282636,0.9005567708651148
582,0.025994062423706055,0.020092248916625977,0.0,0.9473684210526315,0.9473684210526315,0.9091149377652582,0.05263157894736842,0.05263157894736842,0.19524631845954693,0.9121387283236995,0.9121387283236995,0.9091149377652582
583,0.03125739097595215,0.028043508529663086,0.0035164356231689453,1.0,1.0,0.9485869091111934,0.0,0.0,0.14858742518864576,1.0,1.0,0.9485869091111934
584,0.031256914138793945,0.03125929832458496,0.0,1.0,1.0,0.9542041799503984,0.0,0.0,0.1383053615593692,1.0,1.0,0.9542041799503984
585,0.031905174255371094,0.02300238609313965,0.0020034313201904297,0.9736842105263158,0.9736842105263158,0.9070474481336965,0.02631578947368421,0.02631578947368421,0.19201618708946186,0.9552414605418139,0.9552414605418139,0.9070474481336965
