,Accuracy(Log Reg),Train-Time(Log Reg),Accuracy(Decision Tree),Train-Time(Decision Tree),Accuracy(Random Forest),Accuracy(Knn),Train-Time(Random Forest),Accuracy(Naive Bayes),Train-Time(Naive Bayes),Accuracy(SVM),Train-Time(SVM),Train-Time(Knn)
49,0.9370629370629371,0.030141115188598633,0.951048951048951,0.01562976837158203,0.9370629370629371,0.9090909090909091,0.1727275848388672,0.9300699300699301,0.002002716064453125,0.958041958041958,0.7993247509002686,0.0
50,0.9440559440559441,0.03124260902404785,0.9020979020979021,0.015630245208740234,0.951048951048951,0.916083916083916,0.17281270027160645,0.9440559440559441,0.0,0.965034965034965,0.4541325569152832,0.0
51,0.958041958041958,0.0468907356262207,0.951048951048951,0.0,0.965034965034965,0.9300699300699301,0.1888413429260254,0.965034965034965,0.0,0.972027972027972,0.4281923770904541,0.0009982585906982422
52,0.9370629370629371,0.027447938919067383,0.9440559440559441,0.0,0.958041958041958,0.9300699300699301,0.1602468490600586,0.9440559440559441,0.0,0.958041958041958,1.1894073486328125,0.0
53,0.9020979020979021,0.03126072883605957,0.916083916083916,0.01563119888305664,0.951048951048951,0.8811188811188811,0.17290377616882324,0.951048951048951,0.0009989738464355469,0.9230769230769231,0.25867486000061035,0.0
54,0.9300699300699301,0.031259775161743164,0.9370629370629371,0.0,0.972027972027972,0.9300699300699301,0.18172144889831543,0.9300699300699301,0.0,0.9370629370629371,1.3577582836151123,0.0
55,0.972027972027972,0.04577469825744629,0.9300699300699301,0.0,0.965034965034965,0.958041958041958,0.18360257148742676,0.965034965034965,0.0,0.972027972027972,1.4278631210327148,0.0
56,0.9370629370629371,0.04707908630371094,0.9370629370629371,0.0,0.972027972027972,0.958041958041958,0.18770194053649902,0.951048951048951,0.0,0.965034965034965,1.6080503463745117,0.0
57,0.958041958041958,0.04686617851257324,0.9230769230769231,0.0,0.951048951048951,0.9300699300699301,0.17271208763122559,0.9300699300699301,0.0,0.965034965034965,0.5341897010803223,0.0
58,0.965034965034965,0.0514223575592041,0.965034965034965,0.0,0.986013986013986,0.9440559440559441,0.1717815399169922,0.958041958041958,0.0,0.951048951048951,0.7445387840270996,0.0
59,0.951048951048951,0.02931952476501465,0.9370629370629371,0.015626907348632812,0.972027972027972,0.958041958041958,0.16408371925354004,0.958041958041958,0.0009996891021728516,0.972027972027972,1.9442555904388428,0.0
60,0.9370629370629371,0.04725980758666992,0.8951048951048951,0.0,0.9440559440559441,0.9090909090909091,0.18679141998291016,0.9300699300699301,0.0,0.958041958041958,1.8649091720581055,0.0
61,0.9300699300699301,0.047284603118896484,0.8881118881118881,0.0,0.9440559440559441,0.9230769230769231,0.22627663612365723,0.9300699300699301,0.00028967857360839844,0.958041958041958,0.590456485748291,0.0
62,0.951048951048951,0.04688906669616699,0.9230769230769231,0.0,0.958041958041958,0.9440559440559441,0.17221379280090332,0.9370629370629371,0.0,0.9300699300699301,1.3180739879608154,0.0
63,0.965034965034965,0.03164958953857422,0.9440559440559441,0.01562976837158203,0.965034965034965,0.965034965034965,0.16570830345153809,0.965034965034965,0.0,0.9790209790209791,0.7202095985412598,0.0
64,0.9440559440559441,0.04688572883605957,0.8951048951048951,0.0,0.958041958041958,0.9440559440559441,0.21105051040649414,0.958041958041958,0.0,0.958041958041958,2.8187944889068604,0.0
65,0.9440559440559441,0.04689335823059082,0.951048951048951,0.0,0.972027972027972,0.951048951048951,0.17284655570983887,0.9440559440559441,0.0,0.958041958041958,0.5640602111816406,0.0
66,0.9370629370629371,0.03777766227722168,0.916083916083916,0.0,0.951048951048951,0.9090909090909091,0.1627345085144043,0.916083916083916,0.0,0.9370629370629371,0.67008376121521,0.0
67,0.986013986013986,0.045772552490234375,0.8951048951048951,0.0,0.965034965034965,0.9230769230769231,0.18834733963012695,0.916083916083916,0.00099945068359375,0.9790209790209791,1.4777820110321045,0.0
68,0.951048951048951,0.04688906669616699,0.8811188811188811,0.0,0.9300699300699301,0.951048951048951,0.17272448539733887,0.916083916083916,0.0,0.951048951048951,1.8651316165924072,0.0
69,0.951048951048951,0.031241178512573242,0.9370629370629371,0.015631675720214844,0.972027972027972,0.9300699300699301,0.15717411041259766,0.965034965034965,0.0,0.958041958041958,0.6356515884399414,0.0
